filename,label,xmin,ymin,xmax,ymax
maksssksksss299.png,without_mask,62,194,160,320
maksssksksss528.png,without_mask,43,169,149,308
maksssksksss272.png,mask_weared_incorrect,48,107,218,304
maksssksksss514.png,with_mask,28,78,43,99
maksssksksss514.png,with_mask,160,66,176,83
maksssksksss514.png,with_mask,174,33,186,52
maksssksksss514.png,with_mask,202,40,216,59
maksssksksss514.png,without_mask,237,41,248,58
maksssksksss514.png,mask_weared_incorrect,249,44,266,66
maksssksksss514.png,with_mask,298,38,311,54
maksssksksss514.png,with_mask,333,51,346,70
maksssksksss514.png,with_mask,375,47,386,63
maksssksksss514.png,mask_weared_incorrect,386,44,400,64
maksssksksss500.png,with_mask,113,230,216,368
maksssksksss266.png,with_mask,74,205,180,330
maksssksksss716.png,without_mask,101,174,209,299
maksssksksss702.png,with_mask,9,170,60,229
maksssksksss702.png,with_mask,165,90,202,124
maksssksksss702.png,with_mask,175,175,244,260
maksssksksss702.png,with_mask,303,127,360,191
maksssksksss702.png,mask_weared_incorrect,340,66,380,111
maksssksksss702.png,with_mask,379,63,408,98
maksssksksss702.png,with_mask,433,61,471,105
maksssksksss702.png,with_mask,477,78,536,133
maksssksksss702.png,with_mask,569,37,592,67
maksssksksss702.png,with_mask,367,192,437,259
maksssksksss702.png,without_mask,221,57,248,81
maksssksksss845.png,with_mask,101,197,180,306
maksssksksss689.png,with_mask,293,153,361,212
maksssksksss851.png,with_mask,66,205,156,330
maksssksksss138.png,with_mask,51,144,128,239
maksssksksss138.png,with_mask,147,169,217,233
maksssksksss138.png,with_mask,224,92,309,186
maksssksksss662.png,with_mask,49,80,67,97
maksssksksss662.png,with_mask,96,47,110,62
maksssksksss662.png,with_mask,213,57,230,77
maksssksksss662.png,with_mask,350,43,372,67
maksssksksss104.png,without_mask,42,109,66,140
maksssksksss104.png,without_mask,2,105,22,125
maksssksksss104.png,without_mask,30,88,46,105
maksssksksss104.png,with_mask,133,108,174,152
maksssksksss104.png,with_mask,221,101,256,139
maksssksksss104.png,without_mask,304,131,331,158
maksssksksss104.png,without_mask,83,85,96,96
maksssksksss104.png,without_mask,167,91,180,108
maksssksksss110.png,without_mask,6,111,43,148
maksssksksss110.png,without_mask,22,20,49,46
maksssksksss110.png,with_mask,48,12,70,37
maksssksksss110.png,with_mask,113,1,136,24
maksssksksss110.png,without_mask,78,17,106,46
maksssksksss110.png,without_mask,97,66,115,86
maksssksksss110.png,without_mask,70,111,104,145
maksssksksss110.png,without_mask,42,157,85,186
maksssksksss110.png,with_mask,59,205,111,264
maksssksksss110.png,without_mask,116,155,172,198
maksssksksss110.png,without_mask,112,85,149,118
maksssksksss110.png,without_mask,124,27,153,47
maksssksksss110.png,without_mask,163,29,189,53
maksssksksss110.png,with_mask,186,18,215,44
maksssksksss110.png,with_mask,178,77,214,111
maksssksksss110.png,without_mask,216,57,241,84
maksssksksss110.png,without_mask,237,15,268,46
maksssksksss110.png,without_mask,281,19,308,40
maksssksksss110.png,without_mask,286,60,311,84
maksssksksss110.png,with_mask,253,94,293,135
maksssksksss110.png,without_mask,236,161,273,195
maksssksksss110.png,with_mask,282,194,322,232
maksssksksss110.png,with_mask,314,115,350,152
maksssksksss110.png,without_mask,335,27,359,52
maksssksksss110.png,without_mask,381,14,401,34
maksssksksss110.png,with_mask,356,72,385,98
maksssksksss676.png,with_mask,20,124,49,158
maksssksksss676.png,with_mask,34,219,73,267
maksssksksss676.png,with_mask,88,154,114,187
maksssksksss676.png,with_mask,107,99,124,119
maksssksksss676.png,with_mask,133,84,148,105
maksssksksss676.png,with_mask,192,112,210,135
maksssksksss676.png,with_mask,215,82,231,103
maksssksksss676.png,with_mask,264,108,279,125
maksssksksss676.png,with_mask,302,120,316,141
maksssksksss676.png,with_mask,340,142,356,172
maksssksksss676.png,with_mask,232,72,249,94
maksssksksss20.png,with_mask,93,60,153,124
maksssksksss448.png,with_mask,282,39,321,84
maksssksksss448.png,with_mask,230,34,264,69
maksssksksss448.png,with_mask,194,60,232,101
maksssksksss448.png,with_mask,99,50,150,99
maksssksksss34.png,with_mask,63,99,75,113
maksssksksss34.png,with_mask,102,79,117,95
maksssksksss34.png,with_mask,142,84,155,99
maksssksksss34.png,without_mask,129,92,142,102
maksssksksss34.png,with_mask,195,79,209,95
maksssksksss34.png,with_mask,213,86,228,103
maksssksksss34.png,with_mask,245,71,260,86
maksssksksss34.png,without_mask,299,91,312,104
maksssksksss306.png,with_mask,143,181,254,321
maksssksksss460.png,without_mask,7,52,24,72
maksssksksss460.png,with_mask,26,58,53,94
maksssksksss460.png,with_mask,58,69,70,80
maksssksksss460.png,with_mask,111,50,133,76
maksssksksss460.png,with_mask,134,63,148,82
maksssksksss460.png,with_mask,206,69,221,88
maksssksksss460.png,without_mask,226,56,241,76
maksssksksss460.png,with_mask,243,75,260,95
maksssksksss460.png,with_mask,307,80,328,104
maksssksksss460.png,without_mask,155,91,166,101
maksssksksss460.png,with_mask,375,58,383,66
maksssksksss460.png,with_mask,278,58,288,70
maksssksksss474.png,with_mask,1,163,32,198
maksssksksss474.png,with_mask,49,159,76,183
maksssksksss474.png,with_mask,154,45,178,67
maksssksksss474.png,with_mask,238,21,260,47
maksssksksss312.png,with_mask,49,124,72,149
maksssksksss312.png,with_mask,157,169,182,194
maksssksksss312.png,with_mask,188,112,217,140
maksssksksss475.png,with_mask,45,69,73,96
maksssksksss475.png,with_mask,109,80,134,109
maksssksksss475.png,with_mask,164,64,198,100
maksssksksss475.png,with_mask,243,96,267,127
maksssksksss475.png,without_mask,303,84,339,130
maksssksksss475.png,with_mask,350,67,372,105
maksssksksss313.png,with_mask,143,39,309,257
maksssksksss307.png,mask_weared_incorrect,3,65,96,163
maksssksksss307.png,with_mask,146,28,249,140
maksssksksss307.png,without_mask,287,180,343,225
maksssksksss461.png,with_mask,218,185,263,229
maksssksksss461.png,with_mask,300,124,347,176
maksssksksss461.png,with_mask,368,135,395,196
maksssksksss461.png,with_mask,369,47,395,81
maksssksksss461.png,with_mask,244,117,281,159
maksssksksss461.png,with_mask,141,80,186,128
maksssksksss461.png,with_mask,92,72,125,109
maksssksksss461.png,with_mask,57,106,91,140
maksssksksss461.png,with_mask,21,95,45,121
maksssksksss35.png,with_mask,132,44,208,123
maksssksksss35.png,with_mask,330,67,375,114
maksssksksss449.png,with_mask,94,60,118,83
maksssksksss449.png,with_mask,124,72,147,93
maksssksksss449.png,with_mask,157,44,186,78
maksssksksss449.png,with_mask,265,242,295,276
maksssksksss21.png,with_mask,40,137,109,218
maksssksksss21.png,with_mask,54,57,111,112
maksssksksss21.png,with_mask,189,78,246,140
maksssksksss21.png,with_mask,311,48,358,98
maksssksksss21.png,without_mask,182,32,221,60
maksssksksss111.png,with_mask,17,182,35,202
maksssksksss111.png,with_mask,17,101,25,116
maksssksksss111.png,with_mask,48,98,61,113
maksssksksss111.png,without_mask,17,127,27,144
maksssksksss111.png,without_mask,5,133,14,152
