filename,label,xmin,ymin,xmax,ymax
maksssksksss317.png,without_mask,283,25,326,69
maksssksksss44.png,without_mask,332,12,394,90
maksssksksss113.png,without_mask,228,119,241,134
maksssksksss82.png,with_mask,241,74,262,97
FM 24046.jpg,mask_weared_incorrect,0,0,224,224
maksssksksss695.png,without_mask,319,125,350,156
maksssksksss702.png,without_mask,221,57,248,81
FM 24754.jpg,mask_weared_incorrect,0,0,224,224
maksssksksss774.png,with_mask,122,80,173,138
FM 22815.jpg,mask_weared_incorrect,0,0,224,224
FM 23465.jpg,mask_weared_incorrect,0,0,224,224
maksssksksss735.png,with_mask,3,29,49,79
maksssksksss834.png,with_mask,171,74,189,91
maksssksksss223.png,without_mask,298,39,306,52
FM 22746.jpg,mask_weared_incorrect,0,0,224,224
maksssksksss49.png,with_mask,157,45,173,63
maksssksksss121.png,without_mask,387,82,400,107
maksssksksss457.png,with_mask,270,98,313,142
maksssksksss830.png,mask_weared_incorrect,167,77,220,133
FM 21823.jpg,mask_weared_incorrect,0,0,224,224
maksssksksss377.png,with_mask,132,75,246,176
maksssksksss514.png,with_mask,28,78,43,99
maksssksksss603.png,with_mask,68,100,75,111
FM 22296.jpg,mask_weared_incorrect,0,0,224,224
maksssksksss623.png,without_mask,23,2,43,22
FM 23550.jpg,mask_weared_incorrect,0,0,224,224
FM 23134.jpg,mask_weared_incorrect,0,0,224,224
maksssksksss218.png,without_mask,139,223,251,371
maksssksksss539.png,with_mask,233,101,247,116
maksssksksss178.png,without_mask,193,86,214,112
maksssksksss121.png,without_mask,301,62,329,87
maksssksksss443.png,without_mask,89,155,187,264
maksssksksss505.png,with_mask,60,107,170,218
FM 24877.jpg,mask_weared_incorrect,0,0,224,224
maksssksksss359.png,with_mask,114,35,126,49
maksssksksss83.png,with_mask,145,116,229,209
FM 24321.jpg,mask_weared_incorrect,0,0,224,224
maksssksksss75.png,with_mask,202,35,218,54
maksssksksss661.png,with_mask,352,101,384,137
maksssksksss579.png,without_mask,274,51,286,72
maksssksksss251.png,with_mask,91,181,129,206
maksssksksss52.png,with_mask,63,37,77,56
maksssksksss451.png,with_mask,11,1,33,13
maksssksksss296.png,with_mask,114,51,132,70
maksssksksss240.png,without_mask,287,159,302,170
maksssksksss110.png,without_mask,112,85,149,118
