filename,label,xmin,ymin,xmax,ymax
FM 24252.jpg,mask_weared_incorrect,0,0,224,224
FM 24534.jpg,mask_weared_incorrect,0,0,224,224
FM 24520.jpg,mask_weared_incorrect,0,0,224,224
FM 24246.jpg,mask_weared_incorrect,0,0,224,224
FM 24508.jpg,mask_weared_incorrect,0,0,224,224
FM 24291.jpg,mask_weared_incorrect,0,0,224,224
FM 24285.jpg,mask_weared_incorrect,0,0,224,224
FM 24736.jpg,mask_weared_incorrect,0,0,224,224
FM 24050.jpg,mask_weared_incorrect,0,0,224,224
FM 24044.jpg,mask_weared_incorrect,0,0,224,224
FM 24722.jpg,mask_weared_incorrect,0,0,224,224
FM 24078.jpg,mask_weared_incorrect,0,0,224,224
FM 24093.jpg,mask_weared_incorrect,0,0,224,224
FM 24087.jpg,mask_weared_incorrect,0,0,224,224
FM 24911.jpg,mask_weared_incorrect,0,0,224,224
FM 24905.jpg,mask_weared_incorrect,0,0,224,224
FM 24642.jpg,mask_weared_incorrect,0,0,224,224
FM 24124.jpg,mask_weared_incorrect,0,0,224,224
FM 24130.jpg,mask_weared_incorrect,0,0,224,224
FM 24656.jpg,mask_weared_incorrect,0,0,224,224
FM 24118.jpg,mask_weared_incorrect,0,0,224,224
FM 24859.jpg,mask_weared_incorrect,0,0,224,224
FM 24681.jpg,mask_weared_incorrect,0,0,224,224
FM 24695.jpg,mask_weared_incorrect,0,0,224,224
FM 24865.jpg,mask_weared_incorrect,0,0,224,224
FM 24871.jpg,mask_weared_incorrect,0,0,224,224
FM 24326.jpg,mask_weared_incorrect,0,0,224,224
FM 24440.jpg,mask_weared_incorrect,0,0,224,224
FM 24454.jpg,mask_weared_incorrect,0,0,224,224
FM 24332.jpg,mask_weared_incorrect,0,0,224,224
FM 24468.jpg,mask_weared_incorrect,0,0,224,224
FM 24483.jpg,mask_weared_incorrect,0,0,224,224
FM 24497.jpg,mask_weared_incorrect,0,0,224,224
FM 24496.jpg,mask_weared_incorrect,0,0,224,224
FM 24482.jpg,mask_weared_incorrect,0,0,224,224
FM 24469.jpg,mask_weared_incorrect,0,0,224,224
FM 24455.jpg,mask_weared_incorrect,0,0,224,224
FM 24333.jpg,mask_weared_incorrect,0,0,224,224
FM 24327.jpg,mask_weared_incorrect,0,0,224,224
FM 24441.jpg,mask_weared_incorrect,0,0,224,224
FM 24870.jpg,mask_weared_incorrect,0,0,224,224
FM 24864.jpg,mask_weared_incorrect,0,0,224,224
FM 24694.jpg,mask_weared_incorrect,0,0,224,224
FM 24680.jpg,mask_weared_incorrect,0,0,224,224
FM 24858.jpg,mask_weared_incorrect,0,0,224,224
FM 24119.jpg,mask_weared_incorrect,0,0,224,224
FM 24131.jpg,mask_weared_incorrect,0,0,224,224
FM 24657.jpg,mask_weared_incorrect,0,0,224,224
FM 24643.jpg,mask_weared_incorrect,0,0,224,224
FM 24125.jpg,mask_weared_incorrect,0,0,224,224
FM 24904.jpg,mask_weared_incorrect,0,0,224,224
FM 24910.jpg,mask_weared_incorrect,0,0,224,224
FM 24086.jpg,mask_weared_incorrect,0,0,224,224
FM 24092.jpg,mask_weared_incorrect,0,0,224,224
FM 24079.jpg,mask_weared_incorrect,0,0,224,224
FM 24045.jpg,mask_weared_incorrect,0,0,224,224
FM 24723.jpg,mask_weared_incorrect,0,0,224,224
FM 24737.jpg,mask_weared_incorrect,0,0,224,224
FM 24051.jpg,mask_weared_incorrect,0,0,224,224
FM 24284.jpg,mask_weared_incorrect,0,0,224,224
FM 24290.jpg,mask_weared_incorrect,0,0,224,224
FM 24509.jpg,mask_weared_incorrect,0,0,224,224
FM 24521.jpg,mask_weared_incorrect,0,0,224,224
FM 24247.jpg,mask_weared_incorrect,0,0,224,224
FM 24253.jpg,mask_weared_incorrect,0,0,224,224
FM 24535.jpg,mask_weared_incorrect,0,0,224,224
FM 24245.jpg,mask_weared_incorrect,0,0,224,224
FM 24523.jpg,mask_weared_incorrect,0,0,224,224
FM 24537.jpg,mask_weared_incorrect,0,0,224,224
FM 24251.jpg,mask_weared_incorrect,0,0,224,224
FM 24279.jpg,mask_weared_incorrect,0,0,224,224
FM 24286.jpg,mask_weared_incorrect,0,0,224,224
FM 24292.jpg,mask_weared_incorrect,0,0,224,224
FM 24721.jpg,mask_weared_incorrect,0,0,224,224
FM 24047.jpg,mask_weared_incorrect,0,0,224,224
FM 24053.jpg,mask_weared_incorrect,0,0,224,224
FM 24735.jpg,mask_weared_incorrect,0,0,224,224
FM 24709.jpg,mask_weared_incorrect,0,0,224,224
FM 24084.jpg,mask_weared_incorrect,0,0,224,224
FM 24090.jpg,mask_weared_incorrect,0,0,224,224
FM 24906.jpg,mask_weared_incorrect,0,0,224,224
FM 24912.jpg,mask_weared_incorrect,0,0,224,224
FM 24655.jpg,mask_weared_incorrect,0,0,224,224
FM 24133.jpg,mask_weared_incorrect,0,0,224,224
FM 24127.jpg,mask_weared_incorrect,0,0,224,224
FM 24641.jpg,mask_weared_incorrect,0,0,224,224
FM 24899.jpg,mask_weared_incorrect,0,0,224,224
FM 24669.jpg,mask_weared_incorrect,0,0,224,224
FM 24696.jpg,mask_weared_incorrect,0,0,224,224
FM 24682.jpg,mask_weared_incorrect,0,0,224,224
FM 24872.jpg,mask_weared_incorrect,0,0,224,224
FM 24866.jpg,mask_weared_incorrect,0,0,224,224
FM 24331.jpg,mask_weared_incorrect,0,0,224,224
FM 24457.jpg,mask_weared_incorrect,0,0,224,224
FM 24443.jpg,mask_weared_incorrect,0,0,224,224
FM 24325.jpg,mask_weared_incorrect,0,0,224,224
FM 24319.jpg,mask_weared_incorrect,0,0,224,224
FM 24494.jpg,mask_weared_incorrect,0,0,224,224
FM 24480.jpg,mask_weared_incorrect,0,0,224,224
FM 24481.jpg,mask_weared_incorrect,0,0,224,224
FM 24495.jpg,mask_weared_incorrect,0,0,224,224
FM 24318.jpg,mask_weared_incorrect,0,0,224,224
FM 24442.jpg,mask_weared_incorrect,0,0,224,224
FM 24324.jpg,mask_weared_incorrect,0,0,224,224
FM 24330.jpg,mask_weared_incorrect,0,0,224,224
FM 24456.jpg,mask_weared_incorrect,0,0,224,224
FM 24867.jpg,mask_weared_incorrect,0,0,224,224
FM 24873.jpg,mask_weared_incorrect,0,0,224,224
FM 24683.jpg,mask_weared_incorrect,0,0,224,224
FM 24697.jpg,mask_weared_incorrect,0,0,224,224
FM 24668.jpg,mask_weared_incorrect,0,0,224,224
FM 24126.jpg,mask_weared_incorrect,0,0,224,224
FM 24898.jpg,mask_weared_incorrect,0,0,224,224
FM 24640.jpg,mask_weared_incorrect,0,0,224,224
FM 24654.jpg,mask_weared_incorrect,0,0,224,224
FM 24132.jpg,mask_weared_incorrect,0,0,224,224
FM 24913.jpg,mask_weared_incorrect,0,0,224,224
FM 24907.jpg,mask_weared_incorrect,0,0,224,224
FM 24091.jpg,mask_weared_incorrect,0,0,224,224
FM 24085.jpg,mask_weared_incorrect,0,0,224,224
FM 24708.jpg,mask_weared_incorrect,0,0,224,224
FM 24052.jpg,mask_weared_incorrect,0,0,224,224
FM 24734.jpg,mask_weared_incorrect,0,0,224,224
FM 24720.jpg,mask_weared_incorrect,0,0,224,224
FM 24046.jpg,mask_weared_incorrect,0,0,224,224
FM 24293.jpg,mask_weared_incorrect,0,0,224,224
FM 24287.jpg,mask_weared_incorrect,0,0,224,224
FM 24278.jpg,mask_weared_incorrect,0,0,224,224
FM 24536.jpg,mask_weared_incorrect,0,0,224,224
FM 24250.jpg,mask_weared_incorrect,0,0,224,224
FM 24244.jpg,mask_weared_incorrect,0,0,224,224
FM 24522.jpg,mask_weared_incorrect,0,0,224,224
FM 24268.jpg,mask_weared_incorrect,0,0,224,224
FM 24526.jpg,mask_weared_incorrect,0,0,224,224
FM 24240.jpg,mask_weared_incorrect,0,0,224,224
FM 24254.jpg,mask_weared_incorrect,0,0,224,224
FM 24532.jpg,mask_weared_incorrect,0,0,224,224
FM 24283.jpg,mask_weared_incorrect,0,0,224,224
FM 24297.jpg,mask_weared_incorrect,0,0,224,224
FM 24718.jpg,mask_weared_incorrect,0,0,224,224
FM 24042.jpg,mask_weared_incorrect,0,0,224,224
FM 24724.jpg,mask_weared_incorrect,0,0,224,224
FM 24730.jpg,mask_weared_incorrect,0,0,224,224
FM 24056.jpg,mask_weared_incorrect,0,0,224,224
FM 24903.jpg,mask_weared_incorrect,0,0,224,224
FM 24081.jpg,mask_weared_incorrect,0,0,224,224
FM 24095.jpg,mask_weared_incorrect,0,0,224,224
FM 24678.jpg,mask_weared_incorrect,0,0,224,224
FM 24136.jpg,mask_weared_incorrect,0,0,224,224
FM 24650.jpg,mask_weared_incorrect,0,0,224,224
FM 24888.jpg,mask_weared_incorrect,0,0,224,224
FM 24644.jpg,mask_weared_incorrect,0,0,224,224
FM 24122.jpg,mask_weared_incorrect,0,0,224,224
FM 24877.jpg,mask_weared_incorrect,0,0,224,224
FM 24863.jpg,mask_weared_incorrect,0,0,224,224
FM 24693.jpg,mask_weared_incorrect,0,0,224,224
FM 24687.jpg,mask_weared_incorrect,0,0,224,224
FM 24308.jpg,mask_weared_incorrect,0,0,224,224
FM 24452.jpg,mask_weared_incorrect,0,0,224,224
FM 24334.jpg,mask_weared_incorrect,0,0,224,224
FM 24320.jpg,mask_weared_incorrect,0,0,224,224
FM 24446.jpg,mask_weared_incorrect,0,0,224,224
FM 24491.jpg,mask_weared_incorrect,0,0,224,224
FM 24485.jpg,mask_weared_incorrect,0,0,224,224
FM 24484.jpg,mask_weared_incorrect,0,0,224,224
FM 24490.jpg,mask_weared_incorrect,0,0,224,224
FM 24321.jpg,mask_weared_incorrect,0,0,224,224
FM 24447.jpg,mask_weared_incorrect,0,0,224,224
FM 24453.jpg,mask_weared_incorrect,0,0,224,224
FM 24335.jpg,mask_weared_incorrect,0,0,224,224
FM 24309.jpg,mask_weared_incorrect,0,0,224,224
FM 24686.jpg,mask_weared_incorrect,0,0,224,224
FM 24692.jpg,mask_weared_incorrect,0,0,224,224
